,Nodes,CDP
1,10,1
2,10,1
3,10,1
4,10,1
5,10,1
6,10,1
7,10,1
8,10,1
9,10,1
10,10,1
11,10,1
12,10,1
13,10,1
14,10,1
15,10,1
16,10,1
17,10,1
18,10,1
19,10,2
20,10,1
21,10,1
22,10,1
23,10,1
24,10,1
25,10,2
26,10,1
27,10,1
28,10,1
29,10,1
30,10,1
31,10,2
32,25,172
33,25,178
34,25,122
35,25,204
36,25,135
37,25,159
38,25,172
39,25,108
40,25,209
41,25,215
42,25,124
43,25,135
44,25,173
45,25,198
46,25,192
47,25,213
48,25,132
49,25,127
50,25,232
51,25,223
52,25,122
53,25,122
54,25,139
55,25,166
56,25,204
57,25,125
58,25,159
59,25,154
60,25,204
61,25,136
62,25,221
63,30,231
64,30,280
65,30,220
66,30,242
67,30,303
68,30,237
69,30,208
70,30,319
71,30,236
72,30,317
73,30,251
74,30,294
75,30,234
76,30,275
77,30,194
78,30,268
79,30,273
80,30,277
81,30,273
82,30,228
83,30,273
84,30,190
85,30,245
86,30,265
87,30,184
88,30,285
89,30,228
90,30,186
91,30,289
92,30,200
93,30,256
94,40,345
95,40,384
96,40,420
97,40,322
98,40,298
99,40,429
100,40,403
101,40,410
102,40,348
103,40,310
104,40,406
105,40,414
106,40,336
107,40,297
108,40,323
109,40,334
110,40,376
111,40,364
112,40,387
113,40,383
114,40,354
115,40,328
116,40,357
117,40,400
118,40,385
119,40,375
120,40,436
121,40,309
122,40,391
123,40,394
124,40,424
125,45,365
126,45,434
127,45,415
128,45,341
129,45,395
130,45,320
131,45,483
132,45,472
133,45,359
134,45,371
135,45,319
136,45,443
137,45,442
138,45,426
139,45,488
140,45,477
141,45,369
142,45,380
143,45,408
144,45,385
145,45,340
146,45,342
147,45,370
148,45,333
149,45,357
150,45,396
151,45,300
152,45,311
153,45,404
154,45,358
155,45,455
156,55,487
157,55,544
158,55,512
159,55,495
160,55,555
161,55,534
162,55,517
163,55,517
164,55,595
165,55,478
166,55,500
167,55,489
168,55,464
169,55,493
170,55,564
171,55,464
172,55,565
173,55,558
174,55,538
175,55,550
176,55,473
177,55,578
178,55,607
179,55,474
180,55,455
181,55,603
182,55,564
183,55,517
184,55,536
185,55,569
186,55,496
187,60,610
188,60,500
189,60,495
190,60,600
191,60,647
192,60,592
193,60,518
194,60,551
195,60,648
196,60,605
197,60,643
198,60,529
199,60,633
200,60,590
201,60,655
202,60,499
203,60,555
204,60,528
205,60,583
206,60,541
207,60,561
208,60,633
209,60,594
210,60,646
211,60,564
212,60,598
213,60,581
214,60,627
215,60,534
216,60,658
217,60,567
218,70,690
219,70,702
220,70,723
221,70,713
222,70,717
223,70,643
224,70,702
225,70,720
226,70,682
227,70,768
228,70,690
229,70,759
230,70,766
231,70,651
232,70,711
233,70,758
234,70,766
235,70,715
236,70,628
237,70,764
238,70,705
239,70,652
240,70,650
241,70,723
242,70,662
243,70,662
244,70,682
245,70,701
246,70,755
247,70,656
248,70,641
249,75,799
250,75,661
251,75,792
252,75,811
253,75,694
254,75,721
255,75,760
256,75,803
257,75,830
258,75,723
259,75,681
260,75,672
261,75,764
262,75,806
263,75,726
264,75,818
265,75,703
266,75,790
267,75,632
268,75,804
269,75,637
270,75,776
271,75,691
272,75,792
273,75,638
274,75,640
275,75,663
276,75,746
278,75,711
279,75,724
280,75,746
281,85,845
282,85,870
283,85,895
284,85,877
285,85,838
286,85,879
287,85,921
288,85,825
289,85,800
290,85,821
291,85,899
292,85,809
293,85,840
294,85,860
295,85,822
296,85,808
297,85,897
298,85,903
299,85,890
300,85,808
301,85,853
302,85,897
303,85,883
304,85,876
305,85,895
306,85,925
307,85,916
308,85,917
309,85,905
310,85,793
311,85,860
312,90,898
313,90,904
314,90,848
315,90,884
316,90,917
317,90,799
318,90,913
319,90,897
320,90,865
321,90,901
322,90,838
323,90,973
324,90,878
325,90,855
326,90,975
327,90,889
328,90,865
329,90,823
330,90,820
331,90,846
332,90,958
333,90,924
334,90,956
335,90,907
336,90,949
337,90,816
338,90,943
339,90,932
340,90,949
341,90,953
342,90,999
343,100,973
344,100,1073
345,100,1067
346,100,1155
347,100,1049
348,100,963
349,100,1136
350,100,1049
351,100,1097
352,100,1057
353,100,1017
354,100,1098
355,100,1014
356,100,1063
357,100,951
358,100,1041
359,100,1056
360,100,949
361,100,965
361,100,1006
362,100,1010
363,100,1047
364,100,995
365,100,960
366,100,1108
367,100,1005
368,100,999
369,100,1019
370,100,971
371,100,963
372,100,953
373,105,1108
374,105,1185
375,105,1143
376,105,976
377,105,1024
378,105,1001
379,105,994
380,105,1137
381,105,1126
382,105,1051
383,105,1160
384,105,994
385,105,1175
386,105,995
387,105,1178
388,105,997
389,105,1087
390,105,1053
391,105,1119
392,105,991
393,105,1097
394,105,1040
395,105,1056
396,105,1086
397,105,1059
398,105,1100
399,105,1013
400,105,1045
401,105,1046
402,105,1100
403,105,1211
